number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_l2,params_learning_rate,params_n_layers,params_units_0,params_units_1,params_units_2,params_units_3,params_units_4,user_attrs_epochs_trained,user_attrs_train_auc_final,user_attrs_val_auc_best,system_attrs_tpe:relative_params:0,state
34,0.7843626737594604,2026-09-10 13:20:00.498031,2026-09-10 13:24:17.449687,0 days 00:04:16.951656,relu,1024,0.3647006490981503,6.054408024056939e-05,0.0009081762362336726,3,256,256,32.0,,,17.0,0.7604849338531494,0.7843626737594604,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.3647006490981503, ""l2"": 6.054408024056939e-05, ""learning_rate"": 0.0009081762362336726, ""n_layers"": 3, ""units_0"": 256, ""units_1"": 256}",COMPLETE
35,0.7814869284629822,2026-09-10 13:24:17.482156,2026-09-10 13:25:30.037523,0 days 00:01:12.555367,relu,1024,0.48415280652075027,3.9447205469149985e-05,0.004395566311791377,3,256,64,256.0,,,6.0,0.7515479326248169,0.7814869284629822,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.48415280652075027, ""l2"": 3.9447205469149985e-05, ""learning_rate"": 0.004395566311791377, ""n_layers"": 3, ""units_0"": 256, ""units_1"": 64}",COMPLETE
36,0.7810017466545105,2026-09-10 13:25:30.063256,2026-09-10 13:26:03.711187,0 days 00:00:33.647931,relu,1024,0.43571642655418374,3.900569518109481e-05,0.0025493252006010647,2,64,32,,,,7.0,0.7513260841369629,0.7810017466545105,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.43571642655418374, ""l2"": 3.900569518109481e-05, ""learning_rate"": 0.0025493252006010647, ""n_layers"": 2, ""units_0"": 64, ""units_1"": 32}",COMPLETE
37,0.7792110443115234,2026-09-10 13:26:03.738190,2026-09-10 13:27:12.135734,0 days 00:01:08.397544,relu,2048,0.44791078902485393,3.869679754034838e-05,0.0005720737892155734,2,64,32,,,,16.0,0.7471680045127869,0.7792110443115234,"{""activation"": ""relu"", ""batch_size"": 2048, ""dropout"": 0.44791078902485393, ""l2"": 3.869679754034838e-05, ""learning_rate"": 0.0005720737892155734, ""n_layers"": 2, ""units_0"": 64, ""units_1"": 32}",COMPLETE
38,0.7856667637825012,2026-09-10 13:27:12.162688,2026-09-10 13:31:07.032915,0 days 00:03:54.870227,relu,1024,0.32824078941989376,1.6830110423341027e-05,0.0012811424937100807,2,256,256,,,,17.0,0.7694529294967651,0.7856667637825012,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.32824078941989376, ""l2"": 1.6830110423341027e-05, ""learning_rate"": 0.0012811424937100807, ""n_layers"": 2, ""units_0"": 256, ""units_1"": 256}",COMPLETE
39,0.7856323719024658,2026-09-10 13:31:07.064727,2026-09-10 13:35:14.250506,0 days 00:04:07.185779,relu,1024,0.3033319241356492,5.9915282565398595e-05,0.0017973781026860945,2,256,256,,,,16.0,0.769248902797699,0.7856323719024658,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.3033319241356492, ""l2"": 5.9915282565398595e-05, ""learning_rate"": 0.0017973781026860945, ""n_layers"": 2, ""units_0"": 256, ""units_1"": 256}",COMPLETE
40,0.7871415615081787,2026-09-10 13:35:14.294938,2026-09-10 13:38:27.696150,0 days 00:03:13.401212,relu,1024,0.3018684009315346,0.00013953086251405482,0.0008994748843464354,2,256,256,,,,15.0,0.7632648944854736,0.7871415615081787,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.3018684009315346, ""l2"": 0.00013953086251405482, ""learning_rate"": 0.0008994748843464354, ""n_layers"": 2, ""units_0"": 256, ""units_1"": 256}",COMPLETE
41,0.7826032638549805,2026-09-10 13:38:27.731104,2026-09-10 13:40:58.115586,0 days 00:02:30.384482,relu,1024,0.2552461829152961,0.00017268420800375893,0.0005649519638490844,2,256,256,,,,13.0,0.7605953216552734,0.7826032638549805,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.2552461829152961, ""l2"": 0.00017268420800375893, ""learning_rate"": 0.0005649519638490844, ""n_layers"": 2, ""units_0"": 256, ""units_1"": 256}",COMPLETE
42,0.7848597168922424,2026-09-10 13:40:58.142179,2026-09-10 13:43:26.039351,0 days 00:02:27.897172,relu,1024,0.2872838192750088,0.0001356404088816946,0.002973067590242212,3,256,256,32.0,,,11.0,0.7591251730918884,0.7848597168922424,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.2872838192750088, ""l2"": 0.0001356404088816946, ""learning_rate"": 0.002973067590242212, ""n_layers"": 3, ""units_0"": 256, ""units_1"": 256}",COMPLETE
43,0.7866773009300232,2026-09-10 13:43:26.074156,2026-09-10 13:47:14.917265,0 days 00:03:48.843109,relu,1024,0.2919303373162528,3.24592348477936e-05,0.00035173420740424116,2,256,256,,,,16.0,0.7604029178619385,0.7866773009300232,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.2919303373162528, ""l2"": 3.24592348477936e-05, ""learning_rate"": 0.00035173420740424116, ""n_layers"": 2, ""units_0"": 256, ""units_1"": 256}",COMPLETE
